bachelor,master,value
B Biologie,M Computational Science (jd),1
B Biologie,M Information Studies,2
B Biologie,M Artificial Intelligence,1
B Liberal Arts and Sciences,M Artificial Intelligence,2
B Geneeskunde,M Artificial Intelligence,1
B Soc. Geografie en Planologie,M Computer Science (jd),1
B Soc. Geografie en Planologie,M Computational Science,1
B Communicatiewetenschap,M Information Studies,1
B Communicatiewetenschap,M Artificial Intelligence,1
B Economie en bedrijfskunde,M Information Studies,8
B Economie en bedrijfskunde,M Computer Science (jd),2
B Economie en bedrijfskunde,M Computational Science,1
B Economie en bedrijfskunde,M Artificial Intelligence,5
B Economie en bedrijfskunde,M Logic,1
B Economie en bedrijfskunde,M Software Engineering,3
B Biomedische wetenschappen,M Artificial Intelligence,2
B Biomedische wetenschappen,M Information Studies,1
B Engelse tc,M Information Studies,2
B Nederlandse tc,M Artificial Intelligence,1
B Nederlandse tc,M Information Studies,1
B Nederlandse tc,M Software Engineering,1
B Wijsbegeerte,M Artificial Intelligence,1
B Wijsbegeerte,M Logic,1
B Beta-gamma,M Information Studies,2
B Beta-gamma,M Computational Science (jd),5
B Beta-gamma,M Computational Science,1
B Beta-gamma,M Artificial Intelligence,2
B Beta-gamma,M Logic,1
B Beta-gamma,M Software Engineering,1
B Algemene Sociale Wetenschap,M Information Studies,1
B Media en cultuur,M Information Studies,10
B Media en cultuur,M Computer Science (jd),1
B Media en cultuur,M Software Engineering,1
B Media en cultuur,M Artificial Intelligence,1
B Aardwetenschappen,M Information Studies,1
B Aardwetenschappen,M Computational Science,1
B Politicologie,M Information Studies,2
B Sociologie,M Information Studies,1
B Sociologie,M Software Engineering,1
B Natuur- en sterrenkunde,M Computational Science (jd),4
B Natuur- en sterrenkunde,M Artificial Intelligence,3
B Natuur- en sterrenkunde,M Software Engineering,1
B Natuur- en sterrenkunde,M Computational Science,2
B Natuur- en sterrenkunde,M System & Network Engineering,1
B Psychologie,M Computational Science (jd),1
B Psychologie,M Artificial Intelligence,7
B Psychologie,M Information Studies,6
B Liberal Arts & Sciences (jd),M Artificial Intelligence,2
B Liberal Arts & Sciences (jd),M Information Studies,1
B Psychobiologie,M Computational Science (jd),3
B Psychobiologie,M Artificial Intelligence,4
B Psychobiologie,M Computational Science,4
B Psychobiologie,M Information Studies,2
B Informatiekunde BSc,M Computational Science (jd),1
B Informatiekunde BSc,M Information Studies,23
B Informatiekunde BSc,M Software Engineering,1
B Informatiekunde BSc,M Computational Science,1
B Informatiekunde BSc,M Artificial Intelligence,1
B Future Planet Studies,M Artificial Intelligence,1
B Future Planet Studies,M Software Engineering,1
B Future Planet Studies,M Information Studies,1
B Econometrie en Op. Research,M Artificial Intelligence,3
B Econometrie en Op. Research,M Computer Science (jd),1
B Econometrie en Op. Research,M Information Studies,1
B Econometrie en Op. Research,M Software Engineering,4
B Fiscaal Recht,M Artificial Intelligence,1
B Geschiedenis,M Information Studies,1
B Geschiedenis,M Software Engineering,1
B Cult antrop & ontw. sociolog,M Information Studies,1
B Europese Studies,M Artificial Intelligence,1
B Europese Studies,M Software Engineering,1
B Kunstgeschiedenis,M Artificial Intelligence,1
B Taalwetenschap,M Artificial Intelligence,1
B Wiskunde,M Computational Science (jd),3
B Wiskunde,M Artificial Intelligence,1
B Wiskunde,M Computational Science,3
B Medische Informatiekunde,M Artificial Intelligence,1
B Medische Informatiekunde,M Computational Science,1
B Spaanse tc,M Artificial Intelligence,1
B Rechtsgeleerdheid,M Information Studies,1
B Media en informatie,M Artificial Intelligence,2
